iter	Passed	Remaining
433	1474	1923
434	1477	1918
435	1480	1914
436	1481	1909
437	1484	1904
438	1487	1900
439	1489	1895
440	1492	1891
441	1494	1887
442	1497	1883
443	1500	1879
444	1503	1875
445	1506	1870
446	1508	1866
447	1511	1862
448	1514	1858
449	1517	1854
450	1520	1850
451	1523	1846
452	1525	1842
453	1530	1840
454	1534	1837
455	1538	1835
456	1541	1831
457	1544	1827
458	1547	1824
459	1550	1820
460	1553	1816
461	1556	1812
462	1558	1808
463	1561	1803
464	1564	1800
465	1567	1796
466	1570	1792
467	1572	1788
468	1575	1784
469	1578	1780
470	1581	1776
471	1585	1773
472	1587	1768
473	1590	1764
474	1593	1760
475	1595	1756
476	1598	1752
477	1601	1748
478	1604	1744
479	1606	1740
480	1610	1737
481	1613	1733
482	1615	1729
483	1618	1725
484	1621	1721
485	1624	1717
486	1626	1713
487	1629	1709
488	1632	1705
489	1635	1701
490	1637	1697
491	1641	1694
492	1644	1690
493	1646	1686
494	1649	1683
495	1652	1679
496	1655	1675
497	1658	1672
498	1661	1668
499	1664	1664
500	1666	1660
501	1669	1656
502	1672	1652
503	1675	1648
504	1678	1645
505	1681	1641
506	1684	1637
507	1686	1633
508	1689	1629
509	1692	1626
510	1695	1622
511	1698	1618
512	1701	1615
513	1706	1613
514	1710	1610
515	1713	1607
516	1717	1604
517	1721	1602
518	1724	1598
519	1727	1594
520	1730	1590
521	1733	1587
522	1737	1584
523	1739	1580
524	1742	1576
525	1745	1572
526	1748	1569
527	1751	1565
528	1754	1561
529	1756	1557
530	1759	1554
531	1762	1550
532	1765	1546
533	1768	1542
534	1771	1539
535	1773	1535
536	1776	1531
537	1779	1527
538	1781	1524
539	1784	1520
540	1787	1516
541	1790	1512
542	1792	1508
543	1795	1505
544	1798	1501
545	1801	1497
546	1804	1494
547	1806	1490
548	1809	1486
549	1812	1482
550	1815	1479
551	1817	1475
552	1820	1471
553	1823	1468
554	1827	1465
555	1830	1461
556	1832	1457
557	1835	1454
558	1838	1450
559	1841	1446
560	1844	1443
561	1846	1439
562	1849	1435
563	1852	1432
564	1855	1428
565	1858	1425
566	1861	1421
567	1864	1417
568	1867	1414
569	1869	1410
570	1872	1407
571	1875	1403
572	1879	1400
573	1883	1397
574	1887	1394
575	1890	1391
576	1893	1388
577	1896	1384
578	1898	1380
579	1901	1377
580	1905	1373
581	1907	1370
582	1910	1366
583	1913	1362
584	1916	1359
585	1918	1355
586	1921	1351
587	1924	1348
588	1927	1344
589	1930	1341
590	1932	1337
591	1936	1334
592	1939	1330
593	1941	1327
594	1944	1323
595	1947	1320
596	1951	1317
597	1953	1313
598	1956	1309
599	1959	1306
600	1962	1302
601	1966	1299
602	1969	1296
603	1971	1292
604	1974	1289
605	1977	1285
606	1981	1282
607	1984	1279
608	1986	1275
609	1989	1271
610	1992	1268
611	1995	1265
612	1999	1262
613	2002	1259
614	2006	1256
615	2009	1252
616	2013	1249
617	2015	1246
618	2018	1242
619	2021	1239
620	2024	1235
621	2027	1232
622	2030	1228
623	2032	1224
624	2035	1221
625	2038	1217
626	2041	1214
627	2044	1210
628	2047	1207
629	2049	1203
630	2054	1201
631	2057	1198
632	2061	1195
633	2063	1191
634	2065	1187
635	2068	1183
636	2071	1180
637	2074	1177
638	2077	1173
639	2080	1170
640	2083	1166
641	2086	1163
642	2089	1160
643	2092	1156
644	2095	1153
645	2097	1149
646	2100	1145
647	2103	1142
648	2106	1139
649	2109	1135
650	2111	1132
651	2114	1128
652	2117	1125
653	2120	1121
654	2123	1118
655	2125	1114
656	2128	1111
657	2131	1107
658	2133	1104
659	2136	1100
660	2139	1097
661	2142	1093
662	2145	1090
663	2147	1086
664	2151	1083
665	2154	1080
666	2157	1076
667	2160	1073
668	2162	1070
669	2166	1066
670	2168	1063
671	2171	1059
672	2174	1056
673	2177	1052
674	2179	1049
675	2183	1046
676	2185	1042
677	2188	1039
678	2191	1036
679	2194	1032
680	2197	1029
681	2200	1025
682	2202	1022
683	2205	1018
684	2208	1015
685	2210	1011
686	2214	1008
687	2216	1005
688	2219	1001
689	2222	998
690	2225	995
691	2229	992
692	2233	989
693	2236	986
694	2241	983
695	2244	980
696	2247	977
697	2250	973
698	2252	970
699	2255	966
700	2258	963
701	2261	959
702	2264	956
703	2266	953
704	2269	949
705	2272	946
706	2275	943
707	2278	939
708	2281	936
709	2284	932
710	2286	929
711	2289	926
712	2292	922
713	2295	919
714	2297	915
715	2300	912
716	2303	909
717	2306	905
718	2309	902
719	2312	899
720	2315	895
721	2317	892
722	2320	889
723	2323	885
724	2326	882
725	2328	878
726	2331	875
727	2335	872
728	2338	869
729	2340	865
730	2343	862
731	2346	859
732	2349	855
733	2352	852
734	2356	849
735	2358	846
736	2361	842
737	2364	839
738	2367	836
739	2369	832
740	2372	829
741	2375	825
742	2378	822
743	2380	819
744	2382	815
745	2385	812
746	2388	808
747	2391	805
748	2394	802
749	2397	799
750	2400	795
751	2405	793
752	2409	790
753	2413	787
754	2417	784
755	2421	781
756	2424	778
757	2427	774
758	2430	771
759	2433	768
760	2435	765
761	2438	761
762	2441	758
763	2444	755
764	2447	751
765	2449	748
766	2452	745
767	2455	741
768	2457	738
769	2461	735
770	2463	731
771	2466	728
772	2469	725
773	2471	721
774	2474	718
775	2477	715
776	2480	711
777	2482	708
778	2485	705
779	2488	701
780	2491	698
781	2494	695
782	2498	692
783	2501	689
784	2505	686
785	2509	683
786	2514	680
787	2518	677
788	2521	674
789	2525	671
790	2529	668
791	2532	665
792	2536	662
793	2540	659
794	2543	655
795	2547	652
796	2550	649
797	2554	646
798	2556	643
799	2559	639
800	2562	636
801	2565	633
802	2568	630
803	2570	626
804	2573	623
805	2578	620
806	2581	617
807	2586	614
808	2588	611
809	2591	607
810	2595	604
811	2599	601
812	2603	598
813	2607	595
814	2610	592
815	2613	589
816	2616	586
817	2619	582
818	2621	579
819	2625	576
820	2628	573
821	2632	569
822	2635	566
823	2637	563
824	2640	560
825	2643	556
826	2646	553
827	2649	550
828	2652	547
829	2655	543
830	2657	540
831	2660	537
832	2663	533
833	2666	530
834	2668	527
835	2671	524
836	2674	520
837	2677	517
838	2680	514
839	2683	511
840	2685	507
841	2689	504
842	2693	501
843	2697	498
844	2700	495
845	2702	492
846	2705	488
847	2709	485
848	2711	482
849	2714	479
