iter	Logloss
0	0.6919978556
1	0.6910037279
2	0.6898072322
3	0.688803953
4	0.6877017038
5	0.6866632206
6	0.685528129
7	0.6843133301
8	0.6831242885
9	0.6819018879
10	0.680895509
11	0.679784182
12	0.6785822249
13	0.6775313427
14	0.6764420091
15	0.6752768059
16	0.6742135247
17	0.6731196153
18	0.6721145648
19	0.6711044957
20	0.6698925014
21	0.6687123899
22	0.6675551575
23	0.6664783704
24	0.6654702202
25	0.6644222163
26	0.6634052835
27	0.6624214145
28	0.6612958435
29	0.6602447399
30	0.6591010872
31	0.6581540459
32	0.6570020535
33	0.6559510975
34	0.6548189581
35	0.6537589981
36	0.6526471545
37	0.6515770835
38	0.6505910742
39	0.6493600386
40	0.6484085692
41	0.6474756243
42	0.6463958113
43	0.6453860374
44	0.6443939024
45	0.6433084804
46	0.6421936109
47	0.6412073064
48	0.6401326596
49	0.6391194169
50	0.6381835938
51	0.6372903549
52	0.6362493623
53	0.6351961922
54	0.6341923226
55	0.6331881577
56	0.6322421497
57	0.6311650674
58	0.6301417137
59	0.6290623435
60	0.6279538949
61	0.6269712806
62	0.6260532439
63	0.6251535104
64	0.6241951773
65	0.6231543323
66	0.6220913464
67	0.6211876275
68	0.6201611003
69	0.6193530303
70	0.6185618612
71	0.6175441165
72	0.6164681782
73	0.6153867415
74	0.6144779302
75	0.6135256858
76	0.6125678693
77	0.6116546668
78	0.6108576303
79	0.6099419922
80	0.6089677914
81	0.6080949592
82	0.6072002074
83	0.6063066365
84	0.6055308184
85	0.6045287938
86	0.6035928968
87	0.602750656
88	0.6017558641
89	0.6008772383
90	0.6000637068
91	0.5989879899
92	0.5981280732
93	0.5971928773
94	0.596296059
95	0.5954649624
96	0.5944689897
97	0.5936240181
98	0.5927049851
99	0.5918206396
100	0.5908672513
101	0.5899834223
102	0.5890162697
103	0.5881883098
104	0.5873493531
105	0.5865311721
106	0.5856984149
107	0.5849134452
108	0.5841209107
109	0.5831915084
110	0.5821640956
111	0.5811859832
112	0.5802654372
113	0.5793307949
114	0.5784194005
115	0.5775440221
116	0.5768134822
117	0.5759583258
118	0.5752199627
119	0.5743535144
120	0.5736129004
121	0.5727746818
122	0.5720236985
123	0.571296738
124	0.5705289645
125	0.5696550621
126	0.5687985403
127	0.567951576
128	0.5671235791
129	0.5662032915
130	0.5654442636
131	0.5646557145
132	0.5638300793
133	0.5629026697
134	0.5620272912
135	0.5612802194
136	0.5605043275
137	0.5597662597
138	0.5589297017
139	0.5580685672
140	0.557190458
141	0.5563929418
142	0.5556610735
143	0.554836656
144	0.5541350101
145	0.553407533
146	0.5526030055
147	0.5518090318
148	0.5509263469
149	0.5502465835
150	0.5494200258
151	0.5486263473
152	0.5478675778
153	0.5471586253
154	0.5463187092
155	0.5455970995
156	0.5448466697
157	0.5440687851
158	0.5432142191
159	0.5423610184
160	0.5414561557
161	0.5408137735
162	0.5400908723
163	0.5393747609
164	0.5386120059
165	0.5378806173
166	0.5372350617
167	0.5364395381
168	0.5357481139
169	0.5350338845
170	0.5342384348
171	0.5336311829
172	0.5328180205
173	0.5321068539
174	0.5314482351
175	0.5307567739
176	0.5299435746
177	0.5292225553
178	0.5284376594
179	0.5278097058
180	0.5270168761
181	0.5263240865
