iter	Logloss
0	0.6886257256
1	0.6840595511
2	0.679303109
3	0.6749456295
4	0.6703309877
5	0.6662937926
6	0.6615860919
7	0.6572138586
8	0.6520887003
9	0.6482164131
10	0.643848293
11	0.6389773953
12	0.6341754754
13	0.6307034385
14	0.6264375532
15	0.6225944038
16	0.6192689562
17	0.6146807722
18	0.6105790587
19	0.6065058748
20	0.6026661674
21	0.5984846191
22	0.5942063117
23	0.5893997689
24	0.5861196943
25	0.5817541917
26	0.578165954
27	0.5745353119
28	0.571375428
29	0.5679770096
30	0.5638237961
31	0.5603398323
32	0.5558912166
33	0.552287329
34	0.5482398876
35	0.5438569895
36	0.5402175045
37	0.5363652507
38	0.5321475188
39	0.5287481467
40	0.5256360853
41	0.5227811499
42	0.5188430003
43	0.5155314291
44	0.5123492519
45	0.5084977659
46	0.5054178949
47	0.5015076021
48	0.4981785389
49	0.4950757853
50	0.4914542552
51	0.4877938855
52	0.4844440095
53	0.4810990079
54	0.4782168945
55	0.4751486917
56	0.4718623984
57	0.4679853626
58	0.4649343018
59	0.4621863234
60	0.4591565327
61	0.4567138513
62	0.4531458418
63	0.4504760639
64	0.4478144626
65	0.4449959584
66	0.4418485411
67	0.4386807307
68	0.434993552
69	0.4328151194
70	0.4301273243
71	0.4279699012
72	0.4252267293
73	0.422969408
74	0.4204785526
75	0.4174436331
76	0.4143208547
77	0.4121236304
78	0.4096035985
79	0.406854103
80	0.4044979771
81	0.4025830154
82	0.4001991618
83	0.3970868174
84	0.3949294476
85	0.392416412
86	0.3901070281
87	0.3878127547
88	0.385427438
89	0.3834637578
90	0.3807697034
91	0.3786173602
92	0.3762436334
93	0.3736193546
94	0.3711074193
95	0.3685975981
96	0.3661445924
97	0.3633742507
98	0.3618352373
99	0.3598571583
100	0.3579555496
101	0.3555874765
102	0.3535616016
103	0.3512854783
104	0.3490787192
105	0.3473045544
106	0.3452611391
107	0.3433067667
108	0.3409905918
109	0.3390416292
110	0.3376990894
111	0.3353799613
112	0.3332709567
113	0.331522363
114	0.3294596096
115	0.3278058203
116	0.326423678
117	0.3247761198
118	0.3230957377
119	0.3211766664
120	0.3191694649
121	0.3175632362
122	0.3156918065
123	0.3138731142
124	0.3112662323
125	0.3097739498
126	0.30775822
127	0.3060708662
128	0.3041481115
129	0.3022773121
130	0.3005454479
131	0.2989491771
132	0.2975205811
133	0.2960316751
134	0.2945820429
135	0.2928653544
136	0.2914215571
137	0.2898145994
138	0.2879911617
139	0.2861645261
140	0.2844896444
141	0.2830066595
142	0.2815779795
143	0.2801000337
144	0.2786559606
145	0.2770840836
146	0.2754706089
147	0.2736792954
148	0.2724147191
149	0.2712960372
150	0.2695311151
151	0.2680708452
152	0.2663507475
153	0.2647928814
154	0.263448389
155	0.262112328
156	0.260596448
157	0.2591069392
158	0.2576678568
159	0.2565042444
160	0.2554363326
161	0.2541271434
162	0.2527776627
163	0.2515738855
164	0.2500934784
165	0.2489661423
166	0.2476642519
167	0.2466165964
168	0.2454477334
169	0.2443408783
170	0.2430234085
171	0.2418245804
172	0.2406638805
173	0.2393035601
174	0.2379921341
